1.608,0.833
1.494,1.044
1.521,1.290
1.501,0.701
1.353,0.679
1.542,1.124
1.383,0.788
1.422,0.730
1.379,0.998
1.505,0.905
1.438,1.173
1.620,1.005
1.437,1.192
1.476,0.996
1.475,1.608
1.578,1.490
1.467,1.122
1.301,0.952
1.829,1.034
1.571,0.959
1.783,1.404
1.831,1.547
2.053,1.069
1.838,1.530
2.008,1.311
1.933,1.269
1.929,1.457
2.141,1.350
1.927,1.277
1.794,1.284
0.893,1.225
1.851,1.344
1.415,1.225
1.342,1.256
1.161,1.095
1.314,1.109
0.781,1.096
1.386,1.029
0.948,1.182
1.088,0.810
1.125,1.204
1.285,1.049
1.150,0.968
1.274,1.031
0.998,1.436
0.840,1.054
0.977,1.204
1.281,1.352
0.964,1.478
1.123,1.251
3.557,1.975
3.054,1.864
3.131,2.023
3.161,1.779
3.215,1.990
3.332,1.669
3.204,2.058
3.110,1.944
3.591,1.950
3.436,1.936
3.153,2.336
3.397,1.674
3.615,1.842
3.307,1.652
3.054,2.037
3.270,1.748
3.767,1.539
3.601,2.073
3.516,1.941
3.412,1.410
3.995,2.165
3.967,2.267
3.853,1.798
3.528,1.650
3.623,2.245
3.726,2.008
3.996,2.077
3.983,2.282
3.903,1.935
4.316,1.958
4.085,2.204
3.751,2.062
3.945,2.374
3.686,2.081
4.096,1.911
3.951,2.096
4.071,1.600
3.440,1.604
4.063,2.445
3.807,2.165
3.726,1.744
3.998,1.306
3.847,2.030
3.761,1.920
3.870,1.918
3.780,1.841
3.743,1.426
3.602,1.668
3.862,1.894
3.731,1.806
5.489,1.698
5.715,1.653
6.058,1.563
5.909,1.665
5.793,1.612
5.587,1.547
5.839,1.752
5.736,1.879
5.745,1.704
5.968,1.969
5.446,1.876
5.347,1.807
5.340,2.130
5.502,1.955
5.604,2.044
5.302,1.926
5.170,1.885
4.944,1.510
5.245,1.958
5.339,2.274
5.760,2.014
5.722,2.103
5.448,1.694
5.730,2.404
5.916,1.815
5.490,1.798
5.689,1.891
5.395,2.053
5.464,1.967
5.828,2.180
6.106,1.398
5.876,1.413
6.157,1.111
5.888,1.172
6.092,1.621
5.849,1.505
5.676,1.292
5.655,1.315
5.871,1.003
5.974,1.086
5.166,1.334
5.609,0.824
5.200,0.919
5.303,1.552
5.441,1.404
5.237,0.992
5.070,1.495
5.176,1.183
5.222,1.320
5.114,1.263
